These requirements are present in `Requirments/CanIf_SWS_AR403.csv` but do not map to any function in `CanIf.c` (config-only items, header-only requirements, or missing APIs/features).

| Req ID | CanIf.c function(s) / mapping target |
| SWS_CANIF_00710 | None in CanIf.c (TrcvModeIndication config only; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00730 | None in CanIf.c (TrcvModeIndication omitted when no transceivers; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00919 | None in CanIf.c (CanIf_ControllerErrorStatePassive API missing; maps to missing controller error-state APIs: no declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00888 | None in CanIf.c (TriggerTransmit config only; API missing; maps to missing CanIf_TriggerTransmit support: no CanIf API declaration/implementation; related upper-layer trigger transmit exists only in PduR/Com/LinIf paths) |
| SWS_CANIF_00889 | None in CanIf.c (TriggerTransmit config only; API missing; maps to missing CanIf_TriggerTransmit support: no CanIf API declaration/implementation; related upper-layer trigger transmit exists only in PduR/Com/LinIf paths) |
| SWS_CANIF_00890 | None in CanIf.c (TriggerTransmit config only; API missing; maps to missing CanIf_TriggerTransmit support: no CanIf API declaration/implementation; related upper-layer trigger transmit exists only in PduR/Com/LinIf paths) |
| SWS_CANIF_00891 | None in CanIf.c (TriggerTransmit config only; API missing; maps to missing CanIf_TriggerTransmit support: no CanIf API declaration/implementation; related upper-layer trigger transmit exists only in PduR/Com/LinIf paths) |
| SWS_CANIF_00438 | None in CanIf.c (TxConfirmation callback config only; maps to CanIfUserTxConfirmation in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c callback assignments, PduR_CanIfTxConfirmation in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_TxConfirmation) |
| SWS_CANIF_00542 | None in CanIf.c (TxConfirmation name config only; maps to CanIfUserTxConfirmation in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c callback assignments, PduR_CanIfTxConfirmation in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_TxConfirmation) |
| SWS_CANIF_00439 | None in CanIf.c (TxConfirmation name config only; maps to CanIfUserTxConfirmation in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c callback assignments, PduR_CanIfTxConfirmation in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_TxConfirmation) |
| SWS_CANIF_00543 | None in CanIf.c (TxConfirmation name config only; maps to CanIfUserTxConfirmation in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c callback assignments, PduR_CanIfTxConfirmation in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_TxConfirmation) |
| SWS_CANIF_00858 | None in CanIf.c (TxConfirmation name config only; maps to CanIfUserTxConfirmation in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c callback assignments, PduR_CanIfTxConfirmation in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_TxConfirmation) |
| SWS_CANIF_00544 | None in CanIf.c (TxConfirmation name config only; maps to CanIfUserTxConfirmation in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c callback assignments, PduR_CanIfTxConfirmation in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_TxConfirmation) |
| SWS_CANIF_00550 | None in CanIf.c (TxConfirmation name config only; maps to CanIfUserTxConfirmation in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c callback assignments, PduR_CanIfTxConfirmation in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_TxConfirmation) |
| SWS_CANIF_00556 | None in CanIf.c (TxConfirmation name config only; maps to CanIfUserTxConfirmation in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c callback assignments, PduR_CanIfTxConfirmation in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_TxConfirmation) |
| SWS_CANIF_00879 | None in CanIf.c (TxConfirmation name config only; maps to CanIfUserTxConfirmation in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c callback assignments, PduR_CanIfTxConfirmation in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_TxConfirmation) |
| SWS_CANIF_00441 | None in CanIf.c (RxIndication callback config only; maps to CanIfUserRxIndication/CanIfRxUserType in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c Rx PDU entries, PduR_CanIfRxIndication in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_RxIndication) |
| SWS_CANIF_00859 | None in CanIf.c (RxIndication name config only; maps to CanIfUserRxIndication/CanIfRxUserType in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c Rx PDU entries, PduR_CanIfRxIndication in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_RxIndication) |
| SWS_CANIF_00555 | None in CanIf.c (RxIndication name config only; maps to CanIfUserRxIndication/CanIfRxUserType in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c Rx PDU entries, PduR_CanIfRxIndication in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_RxIndication) |
| SWS_CANIF_00880 | None in CanIf.c (RxIndication name config only; maps to CanIfUserRxIndication/CanIfRxUserType in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c Rx PDU entries, PduR_CanIfRxIndication in OpenSAR/communication/PduR/PduR_CanIf.c, and invocation from CanIf_RxIndication) |
| SWS_CANIF_00659 | None in CanIf.c (ValidateWakeupEvent config only; maps to disabled wakeup support: CANIF_WAKEUP_EVENT_API in generated CanIf_Cfg.h, WakeupSupport/CanIfWakeup* callbacks in OpenSAR/include/CanIf_ConfigTypes.h, and guarded CheckWakeup/CheckValidation declarations in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00456 | None in CanIf.c (ValidateWakeupEvent UL config only; maps to disabled wakeup support: CANIF_WAKEUP_EVENT_API in generated CanIf_Cfg.h, WakeupSupport/CanIfWakeup* callbacks in OpenSAR/include/CanIf_ConfigTypes.h, and guarded CheckWakeup/CheckValidation declarations in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00563 | None in CanIf.c (ValidateWakeupEvent name config only; maps to disabled wakeup support: CANIF_WAKEUP_EVENT_API in generated CanIf_Cfg.h, WakeupSupport/CanIfWakeup* callbacks in OpenSAR/include/CanIf_ConfigTypes.h, and guarded CheckWakeup/CheckValidation declarations in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00564 | None in CanIf.c (ValidateWakeupEvent name config only; maps to disabled wakeup support: CANIF_WAKEUP_EVENT_API in generated CanIf_Cfg.h, WakeupSupport/CanIfWakeup* callbacks in OpenSAR/include/CanIf_ConfigTypes.h, and guarded CheckWakeup/CheckValidation declarations in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00450 | None in CanIf.c (ControllerBusOff UL config only; maps to CanIfBusOffNotification in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c dispatch config, and CanIf_ControllerBusOff in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00558 | None in CanIf.c (ControllerBusOff name config only; maps to CanIfBusOffNotification in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c dispatch config, and CanIf_ControllerBusOff in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00524 | None in CanIf.c (mandatory ControllerBusOff callback config; not provided; maps to CanIfBusOffNotification in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c dispatch config, and CanIf_ControllerBusOff in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00559 | None in CanIf.c (ControllerBusOff name config only; maps to CanIfBusOffNotification in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c dispatch config, and CanIf_ControllerBusOff in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00560 | None in CanIf.c (ControllerBusOff name config only; maps to CanIfBusOffNotification in OpenSAR/include/CanIf_ConfigTypes.h, generated CanIf_Cfg.c dispatch config, and CanIf_ControllerBusOff in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00823 | None in CanIf.c (ConfirmPnAvailability UL config only; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00824 | None in CanIf.c (ConfirmPnAvailability name config only; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00825 | None in CanIf.c (ConfirmPnAvailability support flag; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00826 | None in CanIf.c (ConfirmPnAvailability name config; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00827 | None in CanIf.c (ConfirmPnAvailability name config; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00794 | None in CanIf.c (ClearTrcvWufFlagIndication UL config; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00795 | None in CanIf.c (ClearTrcvWufFlagIndication name config; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00796 | None in CanIf.c (ClearTrcvWufFlagIndication support flag; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00797 | None in CanIf.c (ClearTrcvWufFlagIndication name config; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00798 | None in CanIf.c (ClearTrcvWufFlagIndication name config; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00800 | None in CanIf.c (CheckTrcvWakeFlagIndication UL config; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00801 | None in CanIf.c (CheckTrcvWakeFlagIndication name config; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00802 | None in CanIf.c (CheckTrcvWakeFlagIndication support flag; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00803 | None in CanIf.c (CheckTrcvWakeFlagIndication name config; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00804 | None in CanIf.c (CheckTrcvWakeFlagIndication name config; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00689 | None in CanIf.c (ControllerModeIndication UL config; API missing; maps to missing CanIf_ControllerModeIndication API: no declaration in OpenSAR/include/CanIf.h or OpenSAR/include/CanIf_Cbk.h and no implementation in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00690 | None in CanIf.c (ControllerModeIndication name config; API missing; maps to missing CanIf_ControllerModeIndication API: no declaration in OpenSAR/include/CanIf.h or OpenSAR/include/CanIf_Cbk.h and no implementation in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00691 | None in CanIf.c (ControllerModeIndication name config; API missing; maps to missing CanIf_ControllerModeIndication API: no declaration in OpenSAR/include/CanIf.h or OpenSAR/include/CanIf_Cbk.h and no implementation in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00692 | None in CanIf.c (ControllerModeIndication name config; API missing; maps to missing CanIf_ControllerModeIndication API: no declaration in OpenSAR/include/CanIf.h or OpenSAR/include/CanIf_Cbk.h and no implementation in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00694 | None in CanIf.c (TrcvModeIndication caveats; API missing; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00695 | None in CanIf.c (TrcvModeIndication UL config; API missing; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00696 | None in CanIf.c (TrcvModeIndication name config; API missing; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00697 | None in CanIf.c (TrcvModeIndication name config; API missing; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00868 | None in CanIf.c (CanIf_SetBaudrate API missing; maps to missing CanIf_SetBaudrate API: no declaration in OpenSAR/include/CanIf.h and no implementation in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00869 | None in CanIf.c (CanIf_SetBaudrate API missing; maps to missing CanIf_SetBaudrate API: no declaration in OpenSAR/include/CanIf.h and no implementation in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00871 | None in CanIf.c (SetBaudrate config only; API missing; maps to missing CanIf_SetBaudrate API: no declaration in OpenSAR/include/CanIf.h and no implementation in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00907 | None in CanIf.c (GetControllerRxErrorCounter API missing; maps to missing controller error counter APIs: no declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00908 | None in CanIf.c (GetControllerRxErrorCounter API missing; maps to missing controller error counter APIs: no declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00909 | None in CanIf.c (GetControllerTxErrorCounter API missing; maps to missing controller error counter APIs: no declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00910 | None in CanIf.c (GetControllerTxErrorCounter API missing; maps to missing controller error counter APIs: no declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00911 | None in CanIf.c (EnableBusMirroring omitted; feature disabled; maps to absent Bus Mirroring support: no Mirror.h/Mirror_ReportCanFrame integration and no CanIf_EnableBusMirroring API in OpenSAR/include/CanIf.h or OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00912 | None in CanIf.c (EnableBusMirroring API missing; feature disabled; maps to absent Bus Mirroring support: no Mirror.h/Mirror_ReportCanFrame integration and no CanIf_EnableBusMirroring API in OpenSAR/include/CanIf.h or OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00884 | None in CanIf.c (TriggerTransmit support flag; API missing; maps to missing CanIf_TriggerTransmit support: no CanIf API declaration/implementation; related upper-layer trigger transmit exists only in PduR/Com/LinIf paths) |
| SWS_CANIF_00885 | None in CanIf.c (CanIf_TriggerTransmit API missing; maps to missing CanIf_TriggerTransmit support: no CanIf API declaration/implementation; related upper-layer trigger transmit exists only in PduR/Com/LinIf paths) |
| SWS_CANIF_00391 | None in CanIf.c (Tx notify status storage disabled; maps to notification-status compile switches in generated CanIf_Cfg.h and guarded declarations in OpenSAR/include/CanIf.h; storage/API logic is disabled or missing in OpenSAR/communication/CanIf/CanIf.c) |
